id,codigo_municipio,codigo_estado,nombre_municipio
sat_municipio_273,009,SON,Bacanora
sat_municipio_274,009,TAB,Jalapa
sat_municipio_275,009,TAM,Ciudad Madero
sat_municipio_276,009,TLA,Cuaxomulco
sat_municipio_277,009,VER,Alto Lucero de Gutiérrez Barrios
sat_municipio_278,009,YUC,Cansahcab
sat_municipio_279,009,ZAC,Chalchihuites
sat_municipio_280,010,AGU,El Llano
sat_municipio_281,010,CAM,Calakmul
sat_municipio_282,010,COA,Frontera
sat_municipio_283,010,COL,Villa de Álvarez
sat_municipio_284,010,CHH,Buenaventura
sat_municipio_285,010,CHP,Bejucal de Ocampo
sat_municipio_286,010,DIF,Álvaro Obregón
sat_municipio_287,010,DUR,Hidalgo
sat_municipio_288,010,GRO,Atlixtac
sat_municipio_289,010,GUA,Coroneo
sat_municipio_290,010,HID,Atitalaquia
sat_municipio_291,010,JAL,Atemajac de Brizuela
sat_municipio_292,010,MEX,Apaxco
sat_municipio_293,010,MIC,Arteaga
sat_municipio_294,010,MOR,Jantetelco
sat_municipio_295,010,NAY,Rosamorada
sat_municipio_296,010,NLE,El Carmen
sat_municipio_297,010,OAX,El Barrio de la Soledad
sat_municipio_298,010,PUE,Ajalpan
sat_municipio_299,010,QUE,Landa de Matamoros
sat_municipio_300,010,ROO,Bacalar
sat_municipio_301,010,SIN,El Fuerte
sat_municipio_302,010,SLP,Ciudad del Maíz
sat_municipio_303,010,SON,Bacerac
sat_municipio_304,010,TAB,Jalpa de Méndez
sat_municipio_305,010,TAM,Cruillas
sat_municipio_306,010,TLA,Chiautempan
sat_municipio_307,010,VER,Altotonga
sat_municipio_308,010,YUC,Cantamayec
sat_municipio_309,010,ZAC,Fresnillo
sat_municipio_310,011,AGU,San Francisco de los Romo
sat_municipio_311,011,CAM,Candelaria
sat_municipio_312,011,COA,General Cepeda
sat_municipio_313,011,CHH,Camargo
sat_municipio_314,011,CHP,Bella Vista
sat_municipio_315,011,DIF,Tláhuac
sat_municipio_316,011,DUR,Indé
sat_municipio_317,011,GRO,Atoyac de Álvarez
sat_municipio_318,011,GUA,Cortazar
sat_municipio_319,011,HID,Atlapexco
sat_municipio_320,011,JAL,Atengo
sat_municipio_321,011,MEX,Atenco
sat_municipio_322,011,MIC,Briseñas
sat_municipio_323,011,MOR,Jiutepec
sat_municipio_324,011,NAY,Ruíz
sat_municipio_325,011,NLE,Cerralvo
sat_municipio_326,011,OAX,Calihualá
sat_municipio_327,011,PUE,Albino Zertuche
sat_municipio_328,011,QUE,El Marqués
sat_municipio_329,011,ROO,Puerto Morelos
sat_municipio_330,011,SIN,Guasave
sat_municipio_331,011,SLP,Ciudad Fernández
sat_municipio_332,011,SON,Bacoachi
sat_municipio_333,011,TAB,Jonuta
sat_municipio_334,011,TAM,Gómez Farías
sat_municipio_335,011,TLA,Muñoz de Domingo Arenas
sat_municipio_336,011,VER,Alvarado
sat_municipio_337,011,YUC,Celestún
sat_municipio_338,011,ZAC,Trinidad García de la Cadena
sat_municipio_339,012,COA,Guerrero
sat_municipio_340,012,CHH,Carichí
sat_municipio_341,012,CHP,Berriozábal
sat_municipio_342,012,DIF,Tlalpan
sat_municipio_343,012,DUR,Lerdo
